Name,ID
Agathi Flower,530
Agathi Leaves (Agathi Keerai),5381
Amaranth Leaves (Thotakura),481
Asafoetida (Perungayam),5598
Ash Gourd,5415
Banana Flower,5476
Banana pseudostem,5478
Bathua leaves (Paruppu Keerai),5388
Beetroot,5561
Bengal Gram Brown (Kondakadalai),5357
Betel Leaves,5390
Betel Nut,5616
Bitter Gourd ,5418
Black Gram (Ulundhu),5359
Black Gram Dhal (Ulutham Parupu),5358
Black Nightshade (Manithakkali keerai),8800
Black Pepper,5610
Bottle Gourd Long,5423
Brinjal (Eggplant),1060
Broad Beans (Avarakkai),5261
Cabbage,1574
Cardamom Green,5599
Carrot,7235
Cauliflower,1583
Chayote (Chow Chow),1158
Cinnamon,2541
Cloves,5602
Cluster Beans ,5453
Colocasia (Taro),5564
Coriander Leaves,5588
Coriander Seeds,5603
Cucumber (Kheera),7399
Cumin Seeds,5604
Curry Leaves,5589
Custard Apple,2746
Drumstick (Moringa),5460
Elephant Foot Yam (Suran),5577
Fennel Seeds,2543
Fenugreek Leaves (Methi),5400
Fenugreek Seeds,5605
Field Bean Brown (Mochai),5363
Figs,5512
Finger millet,5341
French Beans,5464
Garden Cress (Alivirai Keerai),5401
"Garlic, big clove",5590
"Garlic, small clove",5591
Ginger,5593
Gogu Leaves (Pulicha Keerai),5403
Green Capsicum,7246
Green Chilli,5587
Green Garlic,6278
Green Mango,5471
Green Peas,1913
Green Pumpkin,5479
Horse Gram (Kollu),5367
Indian Gooseberry (Nelli),5513
Indian Papad (Appalam),300
Jaggery (Cane),5634
Java Pulm/ Indian Blackberry,5505
Leeks,1075
Lotus Root,1079
Malabar Spinach (Basella Leaves),5387
Mango Ginger,5594
Manila tamarind (Kodikaipuli),5536
Mint Leaves (Pudina),5595
Moringa Leaves,5399
Moth Bean,5371
Mushroom,1080
Mustard Leaves (Sarson),5406
Mustard Seeds,5625
Nutmeg (Jathikai),5607
"Onion, Big",5596
Paneer,5644
Parsnip,7683
Pearl Millet,5334
Pigeon Peas,3228
Pippali (Tippili),5609
Plantain,5477
Pointed Gourd (Parwal),5474
Ponnanganni Keerai,5409
Poovam Banana,5502
Poppy Seeds,5611
Potato,5566
Pumpkin ,5480
Purslane leaf Boiled,1694
Radish,5570
Rambutan,5551
Rasins Black,5549
Rasins Golden,5550
Red Amaranth,5383
Red Capsicum,1685
Red Gram Dal,5365
Rice Flakes (Aval),5342
Rice Puffed (Pori),5343
Ridge Gourd (Turai),5482
Riped Jackfruit,5522
Samai,5347
Sapota,5552
Shallots (Small Onion),5597
Snake Beans,1057
Snake Gourd (Chichinda),5485
Sorghum Grain,1435
Spinach (Palak),533
Spring Onion,1598
Star Fruit,6674
Sweet Potato,7558
Tamarind Leaves (Imli Patta),5414
Tamarind Pulp,5556
Tinda (Indian Round Gourd),5487
Toddy (Kallu),5640
Tomato Hybrid,5489
Tomato Ripe,5490
Turmeric Powder,5612
Turnip (Shalgam),1947
Wood Apple,5559
Yellow Capsicum,5449
Zucchini (Indian Squash),5491
