Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Hot tea (Garam Chai),10001,Beverages,Beverages,16.14,2.58,0.39,0.53,0,96.5,14.2,11.5,1.04,3.12,13.95,0.02,0.01,0.11,0,0.04,0,0.03,0,0,0.86,0,0.01,0.01,0.04,0,0.86,0.24,Indian Nutrient Databank (INDB)
Cumin infused water (Jeere/Zeere ka pani),10002,Beverages,Beverages,9.09,1.86,0.17,0.11,0.46,97.4,10.84,4.47,5.28,189.6,32.15,0.32,0.02,0.13,0.23,0.04,0,0.01,0,1.77,0.93,0.01,0,0.05,0.01,0.01,0.93,1.07,Indian Nutrient Databank (INDB)
Egg nog,10003,Beverages,Beverages,97.14,8.15,4.78,5.11,0.02,81.94,102.13,107.24,8.99,40.65,115.14,0.43,0.04,7.43,0.02,0.47,32.62,0.42,0.14,0.1,13.81,0.03,0.12,0.08,0.51,0.06,13.81,1.59,Indian Nutrient Databank (INDB)
Sweet Lassi (Meethi lassi),10004,Beverages,Beverages,35.66,6.51,1.29,0.68,0,91.52,45.65,38.46,4.38,18.31,63.5,0.03,0.01,0.45,0,0.16,6.33,0.01,0,0,4.07,0.01,0.06,0.05,0.11,0.02,4.07,0.23,Indian Nutrient Databank (INDB)
Lassi (salted),10005,Beverages,Beverages,18.84,1.86,1.35,0.72,0.02,96.05,47.78,40.39,4.84,65.4,67.37,0.04,0,0.47,0,0.17,6.62,0.01,0,0.09,4.27,0.01,0.06,0.05,0.12,0.02,4.27,0.24,Indian Nutrient Databank (INDB)
Sesame toast,10006,Others,Sides,495.19,11.15,1.9,49.38,1.32,36.25,43.44,36.67,15.34,128.78,172.98,0.72,0.07,1.39,0.14,0.3,0,23.91,0,7.05,14.2,0.07,0.02,0.56,0.11,0.06,14.2,11.08,Indian Nutrient Databank (INDB)
Cracked wheat porridge (Meetha daliya),10007,Others,Desserts,81.57,8.87,2.64,4.08,0.62,83.79,75.88,59.92,5.18,15.89,71.44,0.32,0.02,0.59,0.01,0.21,0,0.75,0,0.08,4.36,0.02,0.07,0.05,0.21,0.02,4.36,1.25,Indian Nutrient Databank (INDB)
Semolina porridge (Suji/Rava daliya),10008,Others,Mains,100.89,12.39,3.75,4.08,0.7,79.08,108.52,95.42,10.23,23.21,123.99,0.36,0.06,1.64,0.15,0.45,0,0.21,0,0.09,8.17,0.05,0.1,0.15,0.36,0.04,8.17,1.81,Indian Nutrient Databank (INDB)
Oatmeal Porridge,10009,Others,Mains,72.85,8.77,2.6,3.22,0.39,85.02,76.83,80.12,10.97,16.14,91.03,0.28,0.04,0.75,0.19,0.32,0,0.17,0,0,6.02,0.07,0.07,0.09,0.25,0.04,6.02,1.26,Indian Nutrient Databank (INDB)
Cornflakes with milk,10010,Others,Mains,117.33,14.95,3.59,5.12,0.78,75.56,106.47,108.43,14.98,26.55,132.88,0.42,0.06,1.47,0.24,0.46,0,0.34,0,0,15.78,0.14,0.21,0.5,0.33,0.05,15.78,1.74,Indian Nutrient Databank (INDB)
